id,name,email,age,department,gpa,city,passed,status,gpa_percentage
82,Rami,rami@university.edu,22,Computer Science,3.1,Jerusalem,True,Good,77.5
83,Huda,huda@university.edu,25,Artificial Intelligence,2.2,Hebron,False,Weak,55.0
84,Adam,adam@university.edu,20,Information Technology,2.4,Bethlehem,False,Weak,60.0
85,Youssef,youssef@university.edu,24,Artificial Intelligence,2.15,Ramallah,False,Weak,53.75
86,Kareem,kareem@university.edu,24,Artificial Intelligence,2.09,Nablus,False,Weak,52.25
87,Sami,sami@university.edu,20,Computer Science,3.17,Jerusalem,True,Good,79.25
88,Sami,sami@university.edu,18,Computer Science,3.5,Ramallah,True,Good,87.5
89,Sami,sami@university.edu,22,Artificial Intelligence,2.14,Nablus,False,Weak,53.5
90,Hassan,hassan@university.edu,21,Computer Science,2.64,Ramallah,True,Weak,66.0
91,Mariam,mariam@university.edu,25,Computer Science,3.61,Jerusalem,True,Good,90.25
92,Wael,wael@university.edu,22,Business,3.76,Tulkarm,True,Excellent,94.0
93,Reem,reem@university.edu,23,Computer Science,2.21,Jerusalem,False,Weak,55.25
94,Khaled,khaled@university.edu,24,Business,3.6,Hebron,True,Good,90.0
95,Dina,dina@university.edu,21,Computer Science,3.67,Jerusalem,True,Good,91.75
96,Zaid,zaid@university.edu,20,Business,2.67,Bethlehem,True,Weak,66.75
97,Ali,ali@university.edu,22,Computer Science,3.01,Ramallah,True,Good,75.25
98,Khaled,khaled@university.edu,20,Information Technology,2.5,Jenin,False,Weak,62.5
99,Dana,dana@university.edu,23,Business,3.4,Gaza,True,Good,85.0
100,Fadi,fadi@university.edu,22,Computer Science,2.28,Bethlehem,False,Weak,57.0
